==== metrics_intt_adc_median_p50.csv ====
run,segment,file,value,error,weight
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/data /clusters_seeds_66685-0.root_qa.root,22.6659,0,17692
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/v3/clusters_seeds_66641-0.root_qa.root,1.55909,0,2981
==== metrics_intt_phi_uniform_r1.csv ====
run,segment,file,value,error,weight
66522,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/Project_20250928Start end 20251015/20250928/run66522.root,0.0117383,0,7.72373e+07
66522,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/Project_20250928Start/20250928/run66522.root,0.0117383,0,7.72373e+07
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/V5_works/clusters_seeds_66641-0.root_qa.root,0.021246,0,2981
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/V5_works/clusters_seeds_66684-0.root_qa.root,0.0254779,0,11326
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/V5_works/clusters_seeds_66685-0.root_qa.root,0.089024,0,17692
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/data /clusters_seeds_66641-0.root_qa.root,0.021246,0,2981
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/data /clusters_seeds_66684-0.root_qa.root,0.0254779,0,11326
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/data /clusters_seeds_66685-0.root_qa.root,0.089024,0,17692
0,-1,/Users/brad/20251028-p_p-QA-G-v1/20250928/data/RootTasks/Taks1V1001/Task1V1004/QuarkoniumGroup_Task20250707/v3/clusters_seeds_66641-0.root_qa.root,0.021246,0,2981
