chip,ladder,count
0,0,8.00745e+07
0,1,1.12301e+08
0,2,8.57638e+07
0,3,8.30642e+07
0,4,7.86938e+07
0,5,1.18207e+08
0,6,8.33896e+07
0,7,8.3365e+07
0,8,1.24713e+08
0,9,1.17862e+08
0,10,8.66224e+07
0,11,8.22733e+07
0,12,1.14046e+08
0,13,8.88954e+07
1,0,6.60668e+07
1,1,9.04359e+07
1,2,7.92959e+07
1,3,6.82164e+07
1,4,6.18105e+07
1,5,9.33423e+07
1,6,6.74669e+07
1,7,6.63925e+07
1,8,1.00164e+08
1,9,9.90117e+07
1,10,7.00801e+07
1,11,6.41853e+07
1,12,9.09183e+07
1,13,6.91218e+07
2,0,1.13635e+08
2,1,1.19849e+08
2,2,1.1078e+08
2,3,7.99167e+07
2,4,6.83143e+07
2,5,7.84445e+07
2,6,8.15978e+07
2,7,1.162e+08
2,8,1.09241e+08
2,9,1.10878e+08
2,10,7.7572e+07
2,11,8.04075e+07
2,12,7.5776e+07
2,13,7.83635e+07
3,0,1.14497e+08
3,1,1.18568e+08
3,2,1.1246e+08
3,3,8.25005e+07
3,4,8.46499e+07
3,5,8.02216e+07
3,6,8.47568e+07
3,7,1.14095e+08
3,8,1.10149e+08
3,9,1.13987e+08
3,10,7.54799e+07
3,11,8.50648e+07
3,12,7.96691e+07
3,13,4.6002e+07
4,0,6.88639e+06
4,1,1.04385e+07
4,2,9.15951e+06
4,3,7.22869e+06
4,4,9.81951e+06
4,5,7.06955e+06
4,6,3.70558e+06
4,7,1.09457e+07
4,8,9.91451e+06
4,9,1.02982e+07
4,10,7.61642e+06
4,11,7.20571e+06
4,12,7.32673e+06
4,13,6.94958e+06
5,0,9.71193e+07
5,1,9.60495e+07
5,2,8.78628e+07
5,3,6.40246e+07
5,4,6.8425e+07
5,5,6.41821e+07
5,6,6.51493e+07
5,7,6.70792e+07
5,8,3.03396e+07
5,9,7.0097e+07
5,10,7.56044e+07
5,11,1.03899e+08
5,12,9.51137e+07
5,13,1.04104e+08
6,0,35
6,1,40
6,2,119
6,3,14
6,4,14
6,5,27
6,6,13
6,7,24
6,8,0
6,9,25
6,10,0
6,11,27
6,12,12
6,13,0
7,0,4.97586e+07
7,1,7.35219e+07
7,2,7.10185e+07
7,3,5.13603e+07
7,4,5.25814e+07
7,5,5.05907e+07
7,6,5.271e+07
7,7,7.5983e+07
7,8,7.15572e+07
7,9,7.45129e+07
7,10,4.94265e+07
7,11,5.25752e+07
7,12,5.01829e+07
7,13,5.11258e+07
