run,value,error
66522,1.8165,0
66684,1.81498,0
66685,1.58309,0
68520,1.82114,0
68522,1.82166,0
68523,1.9208,0
68531,1.8239,0
68548,1.81935,0
68550,1.83129,0
68554,1.8211,0
68584,1.82329,0
68589,1.82532,0
68604,1.82345,0
