chip,ladder,count
0,0,3.97989e+07
0,1,5.59308e+07
0,2,4.27296e+07
0,3,4.12397e+07
0,4,3.90848e+07
0,5,5.93585e+07
0,6,4.26582e+07
0,7,4.14027e+07
0,8,6.23498e+07
0,9,5.87026e+07
0,10,4.31755e+07
0,11,4.08676e+07
0,12,5.69272e+07
0,13,4.42685e+07
1,0,4.4873e+07
1,1,6.16084e+07
1,2,5.43519e+07
1,3,4.6536e+07
1,4,4.19421e+07
1,5,6.40952e+07
1,6,4.59547e+07
1,7,4.49599e+07
1,8,6.85873e+07
1,9,6.77895e+07
1,10,4.77307e+07
1,11,4.34415e+07
1,12,6.20202e+07
1,13,4.71821e+07
2,0,6.24107e+07
2,1,6.61551e+07
2,2,6.10789e+07
2,3,4.36399e+07
2,4,0
2,5,4.2954e+07
2,6,4.49283e+07
2,7,6.42651e+07
2,8,6.00533e+07
2,9,6.156e+07
2,10,4.24677e+07
2,11,4.43255e+07
2,12,4.1618e+07
2,13,4.33912e+07
3,0,5.68937e+07
3,1,5.94465e+07
3,2,5.58575e+07
3,3,4.09208e+07
3,4,4.21445e+07
3,5,3.9807e+07
3,6,4.21078e+07
3,7,5.82292e+07
3,8,5.38511e+07
3,9,5.40733e+07
3,10,3.53625e+07
3,11,4.23666e+07
3,12,3.79485e+07
3,13,1.99912e+07
4,0,4.11719e+07
4,1,6.19678e+07
4,2,5.45643e+07
4,3,4.33359e+07
4,4,5.83839e+07
4,5,4.2355e+07
4,6,2.26932e+07
4,7,6.49155e+07
4,8,5.91578e+07
4,9,6.1404e+07
4,10,4.55008e+07
4,11,4.32183e+07
4,12,4.38587e+07
4,13,4.17203e+07
5,0,6.69199e+07
5,1,6.63016e+07
5,2,6.06883e+07
5,3,2.83539e+08
5,4,4.73887e+07
5,5,4.44906e+07
5,6,4.53519e+07
5,7,4.62787e+07
5,8,2.078e+07
5,9,4.83064e+07
5,10,5.08614e+07
5,11,7.07969e+07
5,12,6.51476e+07
5,13,7.12465e+07
6,0,6.54248e+07
6,1,6.64727e+07
6,2,6.43315e+07
6,3,4.39352e+07
6,4,4.75192e+07
6,5,4.44169e+07
6,6,4.60963e+07
6,7,6.43119e+07
6,8,6.22972e+07
6,9,6.42535e+07
6,10,4.30977e+07
6,11,4.52099e+07
6,12,4.29381e+07
6,13,4.32373e+07
7,0,4.01124e+07
7,1,5.92466e+07
7,2,5.72699e+07
7,3,4.16262e+07
7,4,4.26067e+07
7,5,4.11142e+07
7,6,4.26395e+07
7,7,6.11712e+07
7,8,5.77796e+07
7,9,5.9994e+07
7,10,4.00821e+07
7,11,4.26275e+07
7,12,4.07614e+07
7,13,4.13687e+07
