run,value,error
66522,7.45551,0
66684,7.45025,0
66685,7.46545,0
68520,7.47202,0
68522,7.36439,0
68523,7.4188,0
68531,7.35193,0
68548,7.46638,0
68550,7.48045,0
68554,7.3645,0
68584,7.3756,0
68589,7.49588,0
68604,7.38303,0
