chip,ladder,count
0,0,1.06684e+08
0,1,1.49206e+08
0,2,1.14246e+08
0,3,1.10551e+08
0,4,1.04684e+08
0,5,1.57801e+08
0,6,1.29415e+08
0,7,1.10318e+08
0,8,1.65271e+08
0,9,1.5677e+08
0,10,1.15073e+08
0,11,1.09476e+08
0,12,1.50814e+08
0,13,1.17325e+08
1,0,1.19629e+08
1,1,1.63868e+08
1,2,1.43012e+08
1,3,1.23555e+08
1,4,1.11238e+08
1,5,1.69371e+08
1,6,1.2258e+08
1,7,1.2145e+08
1,8,1.82711e+08
1,9,1.80425e+08
1,10,1.27988e+08
1,11,1.1679e+08
1,12,1.65659e+08
1,13,1.26741e+08
2,0,1.67589e+08
2,1,2.38045e+08
2,2,1.63974e+08
2,3,1.18078e+08
2,4,0
2,5,1.16125e+08
2,6,1.20897e+08
2,7,1.71652e+08
2,8,1.61473e+08
2,9,1.63568e+08
2,10,1.14334e+08
2,11,1.18791e+08
2,12,1.12034e+08
2,13,1.16051e+08
3,0,1.52255e+08
3,1,1.57877e+08
3,2,1.49828e+08
3,3,1.09957e+08
3,4,1.12493e+08
3,5,1.06834e+08
3,6,1.12181e+08
3,7,1.5208e+08
3,8,1.44405e+08
3,9,1.49505e+08
3,10,1.02692e+08
3,11,1.13737e+08
3,12,1.06258e+08
3,13,8.04139e+07
4,0,1.14482e+08
4,1,1.73804e+08
4,2,1.52923e+08
4,3,1.20129e+08
4,4,1.63211e+08
4,5,1.17825e+08
4,6,6.23221e+07
4,7,1.81183e+08
4,8,1.64959e+08
4,9,1.71492e+08
4,10,1.25608e+08
4,11,1.19063e+08
4,12,1.20908e+08
4,13,1.15345e+08
5,0,1.86573e+08
5,1,1.84901e+08
5,2,1.68145e+08
5,3,8.61052e+08
5,4,1.30901e+08
5,5,1.2207e+08
5,6,1.25195e+08
5,7,1.29113e+08
5,8,5.8995e+07
5,9,1.34496e+08
5,10,1.44935e+08
5,11,1.99997e+08
5,12,1.82961e+08
5,13,2.00115e+08
6,0,1.84548e+08
6,1,1.88143e+08
6,2,1.81391e+08
6,3,1.22619e+08
6,4,1.32996e+08
6,5,1.24209e+08
6,6,1.28957e+08
6,7,1.79894e+08
6,8,1.74969e+08
6,9,1.78966e+08
6,10,1.1973e+08
6,11,1.25822e+08
6,12,1.14888e+08
6,13,1.19015e+08
7,0,1.12077e+08
7,1,1.66215e+08
7,2,1.60401e+08
7,3,1.15586e+08
7,4,1.18529e+08
7,5,1.13906e+08
7,6,1.18979e+08
7,7,1.7203e+08
7,8,1.62046e+08
7,9,1.6866e+08
7,10,1.11525e+08
7,11,1.18904e+08
7,12,1.13268e+08
7,13,1.15471e+08
