chip,ladder,count
0,0,8.26117e+07
0,1,1.15873e+08
0,2,8.84149e+07
0,3,8.56405e+07
0,4,8.09981e+07
0,5,1.22599e+08
0,6,8.53388e+07
0,7,8.59294e+07
0,8,1.28907e+08
0,9,1.20894e+08
0,10,8.94424e+07
0,11,8.48776e+07
0,12,1.17725e+08
0,13,9.18465e+07
1,0,9.32989e+07
1,1,1.27564e+08
1,2,1.12678e+08
1,3,9.65689e+07
1,4,8.70825e+07
1,5,1.32356e+08
1,6,9.53301e+07
1,7,9.36808e+07
1,8,1.41843e+08
1,9,1.40129e+08
1,10,9.89874e+07
1,11,9.04488e+07
1,12,1.2852e+08
1,13,9.7815e+07
2,0,1.29565e+08
2,1,2.47919e+08
2,2,1.26879e+08
2,3,9.09711e+07
2,4,0
2,5,8.95035e+07
2,6,9.34171e+07
2,7,1.33098e+08
2,8,1.25046e+08
2,9,1.26467e+08
2,10,8.8447e+07
2,11,9.20998e+07
2,12,8.6807e+07
2,13,9.0088e+07
3,0,1.18068e+08
3,1,1.22729e+08
3,2,1.16139e+08
3,3,8.52796e+07
3,4,8.74767e+07
3,5,8.2877e+07
3,6,8.72246e+07
3,7,1.19428e+08
3,8,1.13613e+08
3,9,1.20104e+08
3,10,8.06373e+07
3,11,8.77431e+07
3,12,8.20433e+07
3,13,5.15733e+07
4,0,8.58673e+07
4,1,1.28538e+08
4,2,1.13509e+08
4,3,9.02237e+07
4,4,1.21297e+08
4,5,8.80637e+07
4,6,4.66738e+07
4,7,1.34735e+08
4,8,1.22835e+08
4,9,1.27282e+08
4,10,9.48499e+07
4,11,8.99932e+07
4,12,9.12789e+07
4,13,8.67913e+07
5,0,1.38809e+08
5,1,1.37009e+08
5,2,1.26358e+08
5,3,9.23476e+07
5,4,9.85145e+07
5,5,9.27472e+07
5,6,9.39814e+07
5,7,9.64189e+07
5,8,4.38716e+07
5,9,1.00604e+08
5,10,1.04935e+08
5,11,1.47177e+08
5,12,1.35447e+08
5,13,1.4802e+08
6,0,1.36645e+08
6,1,1.38751e+08
6,2,1.34156e+08
6,3,9.17437e+07
6,4,9.90233e+07
6,5,9.26724e+07
6,6,9.62486e+07
6,7,1.33053e+08
6,8,1.29829e+08
6,9,1.33026e+08
6,10,9.00698e+07
6,11,9.42612e+07
6,12,8.66591e+07
6,13,8.87622e+07
7,0,8.52478e+07
7,1,1.23001e+08
7,2,1.18978e+08
7,3,8.66212e+07
7,4,8.86109e+07
7,5,8.55705e+07
7,6,8.88902e+07
7,7,1.27095e+08
7,8,1.19944e+08
7,9,1.24338e+08
7,10,8.34209e+07
7,11,8.8675e+07
7,12,8.46909e+07
7,13,8.58999e+07
