run,value,error
66522,11176.6,0
66684,523027,0
66685,2.00769e+06,0
68520,3.58146e+06,0
68522,2.11512e+06,0
68523,1.59494e+06,0
68531,938474,0
68548,387765,0
68550,276398,0
68554,2.05594e+06,0
68584,1.33652e+06,0
68589,855231,0
68604,1.03332e+06,0
