chip,ladder,count
0,0,9.87663e+06
0,1,1.39308e+07
0,2,1.06277e+07
0,3,1.0261e+07
0,4,9.71233e+06
0,5,1.47705e+07
0,6,1.06239e+07
0,7,1.02667e+07
0,8,1.55666e+07
0,9,1.45908e+07
0,10,1.07242e+07
0,11,1.01751e+07
0,12,1.41729e+07
0,13,1.09958e+07
1,0,1.11261e+07
1,1,1.53594e+07
1,2,1.35056e+07
1,3,1.15453e+07
1,4,1.04302e+07
1,5,1.60036e+07
1,6,1.14168e+07
1,7,1.11626e+07
1,8,1.70717e+07
1,9,1.6905e+07
1,10,1.18328e+07
1,11,1.07992e+07
1,12,1.54102e+07
1,13,1.17241e+07
2,0,1.55357e+07
2,1,4.52948e+07
2,2,1.52153e+07
2,3,1.08418e+07
2,4,0
2,5,1.06663e+07
2,6,1.11618e+07
2,7,1.6024e+07
2,8,1.49596e+07
2,9,1.53691e+07
2,10,1.0554e+07
2,11,1.09952e+07
2,12,1.03382e+07
2,13,1.07621e+07
3,0,1.41419e+07
3,1,1.48012e+07
3,2,1.39072e+07
3,3,1.01408e+07
3,4,1.04812e+07
3,5,9.8867e+06
3,6,1.04529e+07
3,7,1.36359e+07
3,8,1.36611e+07
3,9,1.39718e+07
3,10,9.44192e+06
3,11,1.05433e+07
3,12,9.82583e+06
3,13,4.87351e+06
4,0,1.02432e+07
4,1,1.54194e+07
4,2,1.35424e+07
4,3,1.07739e+07
4,4,1.45051e+07
4,5,1.05214e+07
4,6,5.66376e+06
4,7,1.61611e+07
4,8,1.47142e+07
4,9,1.52627e+07
4,10,1.13055e+07
4,11,1.07023e+07
4,12,1.08769e+07
4,13,1.03176e+07
5,0,1.66403e+07
5,1,1.64457e+07
5,2,1.51015e+07
5,3,6.86933e+07
5,4,1.18115e+07
5,5,1.10532e+07
5,6,1.11854e+07
5,7,1.14738e+07
5,8,5.16636e+06
5,9,1.19964e+07
5,10,1.24707e+07
5,11,1.76096e+07
5,12,1.61873e+07
5,13,1.76946e+07
6,0,1.6256e+07
6,1,1.65489e+07
6,2,1.60171e+07
6,3,1.09191e+07
6,4,1.17947e+07
6,5,1.10099e+07
6,6,1.14538e+07
6,7,1.60003e+07
6,8,1.54641e+07
6,9,1.5949e+07
6,10,1.06594e+07
6,11,1.12349e+07
6,12,1.02731e+07
6,13,1.06401e+07
7,0,9.90021e+06
7,1,1.47397e+07
7,2,1.42311e+07
7,3,1.03293e+07
7,4,1.05894e+07
7,5,1.01992e+07
7,6,1.05923e+07
7,7,1.52327e+07
7,8,1.43635e+07
7,9,1.49269e+07
7,10,9.86697e+06
7,11,1.05553e+07
7,12,1.00895e+07
7,13,1.02814e+07
