chip,ladder,count
0,0,9.75457e+07
0,1,1.37332e+08
0,2,1.04436e+08
0,3,1.01055e+08
0,4,9.57014e+07
0,5,1.45215e+08
0,6,1.0346e+08
0,7,1.01312e+08
0,8,1.53099e+08
0,9,1.44029e+08
0,10,1.05616e+08
0,11,1.0018e+08
0,12,1.39781e+08
0,13,1.08455e+08
1,0,1.09997e+08
1,1,1.51477e+08
1,2,1.33165e+08
1,3,1.13998e+08
1,4,1.03041e+08
1,5,1.57067e+08
1,6,1.12655e+08
1,7,1.10861e+08
1,8,1.68185e+08
1,9,1.66451e+08
1,10,1.16922e+08
1,11,1.06897e+08
1,12,1.5246e+08
1,13,1.15445e+08
2,0,1.53993e+08
2,1,4.31622e+08
2,2,1.50356e+08
2,3,1.07647e+08
2,4,0
2,5,1.05714e+08
2,6,1.10196e+08
2,7,1.5829e+08
2,8,1.4798e+08
2,9,1.49826e+08
2,10,1.04704e+08
2,11,1.0867e+08
2,12,1.02491e+08
2,13,1.05933e+08
3,0,1.40216e+08
3,1,1.45518e+08
3,2,1.37609e+08
3,3,1.00499e+08
3,4,1.03228e+08
3,5,9.80254e+07
3,6,1.0325e+08
3,7,1.42462e+08
3,8,1.30275e+08
3,9,1.39837e+08
3,10,9.53239e+07
3,11,1.03381e+08
3,12,9.6886e+07
3,13,5.60168e+07
4,0,1.01598e+08
4,1,1.52893e+08
4,2,1.34817e+08
4,3,1.06669e+08
4,4,1.44041e+08
4,5,1.0433e+08
4,6,5.56045e+07
4,7,1.60552e+08
4,8,1.46134e+08
4,9,1.51526e+08
4,10,1.12239e+08
4,11,1.06309e+08
4,12,1.08119e+08
4,13,1.02582e+08
5,0,1.65433e+08
5,1,1.6322e+08
5,2,1.5005e+08
5,3,7.11541e+08
5,4,1.16705e+08
5,5,1.09632e+08
5,6,1.10858e+08
5,7,1.1442e+08
5,8,5.15152e+07
5,9,1.19299e+08
5,10,1.2671e+08
5,11,1.75767e+08
5,12,1.61381e+08
5,13,1.76479e+08
6,0,1.62241e+08
6,1,1.64887e+08
6,2,1.59667e+08
6,3,1.08778e+08
6,4,1.17587e+08
6,5,1.09938e+08
6,6,1.1382e+08
6,7,1.59361e+08
6,8,1.54447e+08
6,9,1.57831e+08
6,10,1.06628e+08
6,11,1.11614e+08
6,12,1.13456e+08
6,13,1.04444e+08
7,0,9.9724e+07
7,1,1.46461e+08
7,2,1.41354e+08
7,3,1.02537e+08
7,4,1.04668e+08
7,5,1.01054e+08
7,6,1.0526e+08
7,7,1.51053e+08
7,8,1.42604e+08
7,9,1.48093e+08
7,10,9.86895e+07
7,11,1.04949e+08
7,12,1.00156e+08
7,13,1.0195e+08
