chip,ladder,count
0,0,1.21579e+08
0,1,1.70587e+08
0,2,1.30384e+08
0,3,1.26132e+08
0,4,1.19494e+08
0,5,1.79895e+08
0,6,1.25509e+08
0,7,1.26676e+08
0,8,1.89772e+08
0,9,1.78559e+08
0,10,1.31717e+08
0,11,1.24829e+08
0,12,1.73174e+08
0,13,1.35374e+08
1,0,1.37453e+08
1,1,1.87658e+08
1,2,1.64985e+08
1,3,1.41995e+08
1,4,1.2878e+08
1,5,1.95018e+08
1,6,1.40857e+08
1,7,1.38419e+08
1,8,2.08788e+08
1,9,2.06818e+08
1,10,1.46142e+08
1,11,1.33636e+08
1,12,1.89507e+08
1,13,1.44485e+08
2,0,1.90693e+08
2,1,3.32619e+08
2,2,1.86569e+08
2,3,1.34209e+08
2,4,0
2,5,1.3192e+08
2,6,1.37566e+08
2,7,1.95569e+08
2,8,1.83991e+08
2,9,1.86567e+08
2,10,1.30387e+08
2,11,1.35423e+08
2,12,1.27737e+08
2,13,1.32253e+08
3,0,1.73597e+08
3,1,1.80286e+08
3,2,1.70854e+08
3,3,1.25479e+08
3,4,1.28782e+08
3,5,1.21879e+08
3,6,1.28272e+08
3,7,1.76136e+08
3,8,1.6742e+08
3,9,1.7678e+08
3,10,1.18768e+08
3,11,1.29403e+08
3,12,1.21117e+08
3,13,7.41859e+07
4,0,1.29203e+08
4,1,1.95416e+08
4,2,1.71996e+08
4,3,1.35945e+08
4,4,1.83752e+08
4,5,1.32923e+08
4,6,6.91712e+07
4,7,2.0497e+08
4,8,1.86146e+08
4,9,1.92905e+08
4,10,1.42807e+08
4,11,1.35281e+08
4,12,1.37484e+08
4,13,1.30164e+08
5,0,2.10794e+08
5,1,2.07696e+08
5,2,1.90466e+08
5,3,1.38965e+08
5,4,1.48396e+08
5,5,1.39225e+08
5,6,1.42053e+08
5,7,1.45315e+08
5,8,6.637e+07
5,9,1.51802e+08
5,10,1.62823e+08
5,11,2.24403e+08
5,12,2.05604e+08
5,13,2.25216e+08
6,0,2.06893e+08
6,1,2.10627e+08
6,2,2.03156e+08
6,3,1.39512e+08
6,4,1.49568e+08
6,5,1.39529e+08
6,6,1.45197e+08
6,7,2.02626e+08
6,8,1.96573e+08
6,9,2.02397e+08
6,10,1.3544e+08
6,11,1.42031e+08
6,12,1.29991e+08
6,13,1.35381e+08
7,0,1.23904e+08
7,1,1.86726e+08
7,2,1.805e+08
7,3,1.29894e+08
7,4,1.336e+08
7,5,1.28463e+08
7,6,1.34006e+08
7,7,1.92784e+08
7,8,1.8196e+08
7,9,1.89241e+08
7,10,1.24559e+08
7,11,1.33861e+08
7,12,1.27605e+08
7,13,1.29683e+08
