run,value,error
66522,0.0117383,0
66684,0.0171485,0
66685,0.0978684,0
68520,0.0154918,0
68522,0.012504,0
68523,0.0719838,0
68531,0.00996021,0
68548,0.0156105,0
68550,0.00952738,0
68554,0.0101132,0
68584,0.0117255,0
68589,0.00913504,0
68604,0.0114507,0
