chip,ladder,count
0,0,1.27894e+08
0,1,1.79868e+08
0,2,1.36799e+08
0,3,1.32606e+08
0,4,1.25581e+08
0,5,1.89841e+08
0,6,1.37515e+08
0,7,1.33326e+08
0,8,1.99902e+08
0,9,1.88345e+08
0,10,1.38567e+08
0,11,1.3156e+08
0,12,1.82828e+08
0,13,1.4235e+08
1,0,1.4494e+08
1,1,1.98957e+08
1,2,1.7473e+08
1,3,1.4929e+08
1,4,1.35749e+08
1,5,2.05391e+08
1,6,1.47962e+08
1,7,1.45882e+08
1,8,2.20403e+08
1,9,2.18343e+08
1,10,1.53556e+08
1,11,1.40913e+08
1,12,2.00218e+08
1,13,1.51937e+08
2,0,2.02042e+08
2,1,4.17719e+08
2,2,1.96962e+08
2,3,1.41445e+08
2,4,0
2,5,1.38994e+08
2,6,1.44683e+08
2,7,2.06749e+08
2,8,1.94267e+08
2,9,1.95132e+08
2,10,1.3737e+08
2,11,1.42597e+08
2,12,1.34606e+08
2,13,1.38906e+08
3,0,1.83515e+08
3,1,1.89916e+08
3,2,1.80249e+08
3,3,1.3211e+08
3,4,1.35252e+08
3,5,1.28594e+08
3,6,1.35415e+08
3,7,1.81743e+08
3,8,1.76986e+08
3,9,1.8301e+08
3,10,1.18351e+08
3,11,1.35914e+08
3,12,1.27449e+08
3,13,7.15301e+07
4,0,1.34901e+08
4,1,2.03728e+08
4,2,1.79111e+08
4,3,1.41975e+08
4,4,1.91609e+08
4,5,1.38529e+08
4,6,7.40769e+07
4,7,2.13963e+08
4,8,1.94278e+08
4,9,2.01415e+08
4,10,1.49074e+08
4,11,1.41125e+08
4,12,1.43552e+08
4,13,1.36006e+08
5,0,2.20305e+08
5,1,2.17375e+08
5,2,1.99016e+08
5,3,1.4527e+08
5,4,1.54955e+08
5,5,1.45376e+08
5,6,1.47176e+08
5,7,1.52093e+08
5,8,6.89306e+07
5,9,1.58457e+08
5,10,1.70111e+08
5,11,2.34606e+08
5,12,2.15096e+08
5,13,2.35436e+08
6,0,2.1611e+08
6,1,2.20248e+08
6,2,2.12832e+08
6,3,1.44627e+08
6,4,1.56379e+08
6,5,1.46138e+08
6,6,1.51436e+08
6,7,2.11156e+08
6,8,2.05416e+08
6,9,2.09963e+08
6,10,1.41121e+08
6,11,1.47952e+08
6,12,1.36773e+08
6,13,1.38932e+08
7,0,1.2963e+08
7,1,1.94939e+08
7,2,1.88409e+08
7,3,1.36238e+08
7,4,1.39598e+08
7,5,1.34181e+08
7,6,1.39934e+08
7,7,2.01334e+08
7,8,1.89837e+08
7,9,1.97351e+08
7,10,1.3121e+08
7,11,1.39473e+08
7,12,1.33201e+08
7,13,1.35456e+08
