chip,ladder,count
0,0,2.86253e+07
0,1,3.99614e+07
0,2,3.06967e+07
0,3,2.97835e+07
0,4,2.80567e+07
0,5,4.26144e+07
0,6,2.8794e+07
0,7,2.93268e+07
0,8,4.43531e+07
0,9,4.22089e+07
0,10,3.07195e+07
0,11,2.9176e+07
0,12,4.06455e+07
0,13,3.1379e+07
1,0,3.18497e+07
1,1,4.40732e+07
1,2,3.81892e+07
1,3,3.28714e+07
1,4,2.95516e+07
1,5,4.55686e+07
1,6,3.28805e+07
1,7,3.25399e+07
1,8,4.97134e+07
1,9,4.88678e+07
1,10,3.45462e+07
1,11,3.11312e+07
1,12,4.47667e+07
1,13,3.43503e+07
2,0,4.53858e+07
2,1,7.10129e+07
2,2,4.42988e+07
2,3,3.1508e+07
2,4,2.66834e+07
2,5,3.11205e+07
2,6,3.25823e+07
2,7,4.65313e+07
2,8,4.31655e+07
2,9,4.39956e+07
2,10,3.06988e+07
2,11,3.19846e+07
2,12,3.005e+07
2,13,3.11331e+07
3,0,4.07836e+07
3,1,4.25481e+07
3,2,3.99714e+07
3,3,2.92967e+07
3,4,3.02221e+07
3,5,2.86905e+07
3,6,3.00494e+07
3,7,4.16957e+07
3,8,3.93244e+07
3,9,4.17397e+07
3,10,2.79535e+07
3,11,3.05897e+07
3,12,2.84755e+07
3,13,1.68192e+07
4,0,2.95833e+07
4,1,4.45219e+07
4,2,3.90326e+07
4,3,3.1278e+07
4,4,4.17721e+07
4,5,3.06007e+07
4,6,1.63295e+07
4,7,4.61983e+07
4,8,4.02561e+07
4,9,4.3916e+07
4,10,3.23631e+07
4,11,2.9626e+07
4,12,3.13545e+07
4,13,2.98581e+07
5,0,4.76276e+07
5,1,4.65682e+07
5,2,4.31314e+07
5,3,3.12765e+07
5,4,3.61239e+07
5,5,3.13999e+07
5,6,3.13148e+07
5,7,3.3494e+07
5,8,1.54172e+07
5,9,3.49650e+07
5,10,3.64163e+07
5,11,5.16732e+07
5,12,4.71259e+07
5,13,5.13282e+07
6,0,4.74763e+07
6,1,4.83923e+07
6,2,4.66634e+07
6,3,3.1704e+07
6,4,3.46088e+07
6,5,3.21879e+07
6,6,3.35056e+07
6,7,4.59434e+07
6,8,4.48806e+07
6,9,4.59997e+07
6,10,2.98419e+07
6,11,3.26499e+07
6,12,3.0109e+07
6,13,3.05987e+07
7,0,2.8045e+07
7,1,4.24098e+07
7,2,4.0975e+07
7,3,2.9746e+07
7,4,3.06495e+07
7,5,2.93911e+07
7,6,3.08842e+07
7,7,4.39828e+07
7,8,4.15519e+07
7,9,4.30262e+07
7,10,2.85938e+07
7,11,3.0759e+07
7,12,2.93832e+07
7,13,2.99499e+07
