chip,ladder,count
0,0,1.31562e+08
0,1,1.84504e+08
0,2,1.4098e+08
0,3,1.36511e+08
0,4,1.28957e+08
0,5,1.95524e+08
0,6,1.39066e+08
0,7,1.36847e+08
0,8,2.05915e+08
0,9,1.93526e+08
0,10,1.42649e+08
0,11,1.34934e+08
0,12,1.8775e+08
0,13,1.46428e+08
1,0,1.48591e+08
1,1,2.03362e+08
1,2,1.79962e+08
1,3,1.54032e+08
1,4,1.39079e+08
1,5,2.11107e+08
1,6,1.5205e+08
1,7,1.49075e+08
1,8,2.25985e+08
1,9,2.23782e+08
1,10,1.57599e+08
1,11,1.43827e+08
1,12,2.04318e+08
1,13,1.5571e+08
2,0,2.06137e+08
2,1,4.24761e+08
2,2,2.01522e+08
2,3,1.44681e+08
2,4,0
2,5,1.42174e+08
2,6,1.48506e+08
2,7,2.11698e+08
2,8,1.98602e+08
2,9,2.01908e+08
2,10,1.40581e+08
2,11,1.46265e+08
2,12,1.37629e+08
2,13,1.4311e+08
3,0,1.87676e+08
3,1,1.95644e+08
3,2,1.8475e+08
3,3,1.35085e+08
3,4,1.39167e+08
3,5,1.31586e+08
3,6,1.39035e+08
3,7,1.91562e+08
3,8,1.81224e+08
3,9,1.88338e+08
3,10,1.21338e+08
3,11,1.39499e+08
3,12,1.30705e+08
3,13,1.05076e+08
4,0,1.37476e+08
4,1,2.06887e+08
4,2,1.82101e+08
4,3,1.44505e+08
4,4,1.94666e+08
4,5,1.41045e+08
4,6,7.51969e+07
4,7,2.16757e+08
4,8,1.97325e+08
4,9,2.04683e+08
4,10,1.51913e+08
4,11,1.43971e+08
4,12,1.46221e+08
4,13,1.38806e+08
5,0,2.23094e+08
5,1,2.2135e+08
5,2,2.02021e+08
5,3,1.47784e+08
5,4,1.57706e+08
5,5,1.48212e+08
5,6,1.51528e+08
5,7,1.54338e+08
5,8,6.96882e+07
5,9,1.61077e+08
5,10,1.72203e+08
5,11,2.36105e+08
5,12,2.17453e+08
5,13,2.37677e+08
6,0,2.19034e+08
6,1,2.2215e+08
6,2,2.14973e+08
6,3,1.46236e+08
6,4,1.58415e+08
6,5,1.48139e+08
6,6,1.53522e+08
6,7,2.13142e+08
6,8,2.07822e+08
6,9,2.13249e+08
6,10,1.43209e+08
6,11,1.50609e+08
6,12,1.51081e+08
6,13,1.42537e+08
7,0,1.31522e+08
7,1,1.97292e+08
7,2,1.909e+08
7,3,1.38943e+08
7,4,1.41799e+08
7,5,1.36587e+08
7,6,1.42133e+08
7,7,2.04278e+08
7,8,1.92897e+08
7,9,2.0027e+08
7,10,1.32439e+08
7,11,1.41615e+08
7,12,1.35376e+08
7,13,1.37491e+08
