chip,ladder,count
0,0,157
0,1,152
0,2,78
0,3,56
0,4,91
0,5,98
0,6,83
0,7,148
0,8,213
0,9,0
0,10,72
0,11,145
0,12,143
0,13,0
1,0,99
1,1,135
1,2,100
1,3,32
1,4,62
1,5,224
1,6,77
1,7,110
1,8,0
1,9,47
1,10,109
1,11,21
1,12,109
1,13,75
2,0,7.02744e+06
2,1,1.22321e+07
2,2,6.87922e+06
2,3,4.90673e+06
2,4,4.13276e+06
2,5,4.82645e+06
2,6,5.04808e+06
2,7,7.21146e+06
2,8,6.72033e+06
2,9,6.8522e+06
2,10,4.76552e+06
2,11,4.97261e+06
2,12,4.6644e+06
2,13,4.84312e+06
3,0,122
3,1,127
3,2,175
3,3,119
3,4,134
3,5,198
3,6,56
3,7,145
3,8,163
3,9,86
3,10,84
3,11,151
3,12,94
3,13,71
4,0,2.36417e+07
4,1,3.5457e+07
4,2,3.11202e+07
4,3,2.48654e+07
4,4,3.32584e+07
4,5,2.43926e+07
4,6,1.314e+07
4,7,3.6805e+07
4,8,3.20022e+07
4,9,3.49182e+07
4,10,2.57023e+07
4,11,2.3581e+07
4,12,2.49331e+07
4,13,2.37848e+07
5,0,2.26063e+06
5,1,2.20854e+06
5,2,2.0494e+06
5,3,8.08392e+06
5,4,1.71091e+06
5,5,1.48768e+06
5,6,1.49132e+06
5,7,1.58669e+06
5,8,723152
5,9,1.6636e+06
5,10,1.83503e+06
5,11,2.45851e+06
5,12,2.22818e+06
5,13,2.42686e+06
6,0,4.78171e+06
6,1,4.87981e+06
6,2,4.70361e+06
6,3,3.20837e+06
6,4,3.49230e+06
6,5,3.23548e+06
6,6,3.38601e+06
6,7,4.6626e+06
6,8,4.52075e+06
6,9,4.62768e+06
6,10,3.00386e+06
6,11,3.29288e+06
6,12,2.99967e+06
6,13,3.11927e+06
7,0,2.88792e+06
7,1,4.26662e+06
7,2,4.1249e+06
7,3,3.00682e+06
7,4,3.07028e+06
7,5,2.96018e+06
7,6,3.10732e+06
7,7,4.41856e+06
7,8,4.172e+06
7,9,4.32469e+06
7,10,2.89142e+06
7,11,3.09884e+06
7,12,2.96657e+06
7,13,3.0128e+06
